# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 330         4.122       51.992      11.90       Hoek van Holland
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# P         : Luchtdruk (in 0.1 hPa) herleid naar zeeniveau; tijdens de waarneming / Air pressure (in 0.1 hPa) reduced to mean sea level; at the time of observation
# STN,YYYYMMDD,HH,    P
  330,20251023,    1, 9829
  330,20251023,    2, 9805
  330,20251023,    3, 9778
  330,20251023,    4, 9767
  330,20251023,    5, 9762
  330,20251023,    6, 9760
  330,20251023,    7, 9759
  330,20251023,    8, 9760
  330,20251023,    9, 9758
  330,20251023,   10, 9754
  330,20251023,   11, 9752
  330,20251023,   12, 9750
  330,20251023,   13, 9758
  330,20251023,   14, 9770
  330,20251023,   15, 9796
  330,20251023,   16, 9817
  330,20251023,   17, 9838
  330,20251023,   18, 9859
  330,20251023,   19, 9872
  330,20251023,   20, 9881
  330,20251023,   21, 9893
  330,20251023,   22, 9899
  330,20251023,   23, 9909
  330,20251023,   24, 9919
  330,20251024,    1, 9928
  330,20251024,    2, 9935
  330,20251024,    3, 9942
  330,20251024,    4, 9949
  330,20251024,    5, 9956
  330,20251024,    6, 9961
  330,20251024,    7, 9966
  330,20251024,    8, 9975
  330,20251024,    9, 9981
  330,20251024,   10, 9988
  330,20251024,   11, 9992
  330,20251024,   12, 9992
  330,20251024,   13, 9992
  330,20251024,   14, 9988
  330,20251024,   15, 9987
  330,20251024,   16, 9984
  330,20251024,   17, 9982
  330,20251024,   18, 9980
  330,20251024,   19, 9976
  330,20251024,   20, 9975
  330,20251024,   21, 9973
  330,20251024,   22, 9969
  330,20251024,   23, 9961
  330,20251024,   24, 9957
  330,20251025,    1, 9951
  330,20251025,    2, 9944
  330,20251025,    3, 9942
  330,20251025,    4, 9937
  330,20251025,    5, 9934
  330,20251025,    6, 9933
  330,20251025,    7, 9934
  330,20251025,    8, 9935
  330,20251025,    9, 9947
  330,20251025,   10, 9963
  330,20251025,   11, 9978
  330,20251025,   12, 9988
  330,20251025,   13, 9995
  330,20251025,   14,10004
  330,20251025,   15,10007
  330,20251025,   16,10009
  330,20251025,   17,10014
  330,20251025,   18,10013
  330,20251025,   19,10015
  330,20251025,   20,10014
  330,20251025,   21,10016
  330,20251025,   22,10015
  330,20251025,   23,10016
  330,20251025,   24,10015
  330,20251026,    1,10016
  330,20251026,    2,10015
  330,20251026,    3,10014
  330,20251026,    4,10014
  330,20251026,    5,10016
  330,20251026,    6,10019
  330,20251026,    7,10027
  330,20251026,    8,10035
  330,20251026,    9,10044
  330,20251026,   10,10052
  330,20251026,   11,10056
  330,20251026,   12,10059
  330,20251026,   13,10062
  330,20251026,   14,10061
  330,20251026,   15,10057
  330,20251026,   16,10054
  330,20251026,   17,10048
  330,20251026,   18,10045
  330,20251026,   19,10035
  330,20251026,   20,10025
  330,20251026,   21,10015
  330,20251026,   22,10001
  330,20251026,   23, 9985
  330,20251026,   24, 9974
  330,20251027,    1, 9968
  330,20251027,    2, 9966
  330,20251027,    3, 9961
  330,20251027,    4, 9961
  330,20251027,    5, 9962
  330,20251027,    6, 9961
  330,20251027,    7, 9962
  330,20251027,    8, 9966
  330,20251027,    9, 9972
  330,20251027,   10, 9981
  330,20251027,   11, 9993
  330,20251027,   12,10002
  330,20251027,   13,10015
  330,20251027,   14,10031
  330,20251027,   15,10043
  330,20251027,   16,10053
  330,20251027,   17,10062
  330,20251027,   18,10071
  330,20251027,   19,10077
  330,20251027,   20,10080
  330,20251027,   21,10083
  330,20251027,   22,10082
  330,20251027,   23,10078
  330,20251027,   24,10073
  330,20251028,    1,10066
  330,20251028,    2,10058
  330,20251028,    3,10048
  330,20251028,    4,10039
  330,20251028,    5,10037
  330,20251028,    6,10032
  330,20251028,    7,10034
