Datum;Tijd (NL tijd);Locatie;Waterhoogte berekend Oppervlaktewater t.o.v. NAP;Extremen
24-10-2025;00:00;Hoek van Holland;-46;
24-10-2025;00:10;Hoek van Holland;-47;
24-10-2025;00:20;Hoek van Holland;-47;
24-10-2025;00:23;Hoek van Holland;-47;-47
24-10-2025;00:30;Hoek van Holland;-47;
24-10-2025;00:40;Hoek van Holland;-47;
24-10-2025;00:50;Hoek van Holland;-46;
24-10-2025;01:00;Hoek van Holland;-46;
24-10-2025;01:10;Hoek van Holland;-45;
24-10-2025;01:20;Hoek van Holland;-44;
24-10-2025;01:30;Hoek van Holland;-42;
24-10-2025;01:40;Hoek van Holland;-40;
24-10-2025;01:50;Hoek van Holland;-38;
24-10-2025;02:00;Hoek van Holland;-35;
24-10-2025;02:10;Hoek van Holland;-32;
24-10-2025;02:20;Hoek van Holland;-27;
24-10-2025;02:30;Hoek van Holland;-22;
24-10-2025;02:40;Hoek van Holland;-16;
24-10-2025;02:50;Hoek van Holland;-8;
24-10-2025;03:00;Hoek van Holland;0;
24-10-2025;03:10;Hoek van Holland;10;
24-10-2025;03:20;Hoek van Holland;22;
24-10-2025;03:30;Hoek van Holland;34;
24-10-2025;03:40;Hoek van Holland;48;
24-10-2025;03:50;Hoek van Holland;62;
24-10-2025;04:00;Hoek van Holland;76;
24-10-2025;04:10;Hoek van Holland;90;
24-10-2025;04:20;Hoek van Holland;102;
24-10-2025;04:30;Hoek van Holland;112;
24-10-2025;04:40;Hoek van Holland;121;
24-10-2025;04:50;Hoek van Holland;126;
24-10-2025;05:00;Hoek van Holland;129;
24-10-2025;05:08;Hoek van Holland;130;130
24-10-2025;05:10;Hoek van Holland;130;
24-10-2025;05:20;Hoek van Holland;129;
24-10-2025;05:30;Hoek van Holland;126;
24-10-2025;05:40;Hoek van Holland;122;
24-10-2025;05:50;Hoek van Holland;117;
24-10-2025;06:00;Hoek van Holland;112;
24-10-2025;06:10;Hoek van Holland;108;
24-10-2025;06:20;Hoek van Holland;104;
24-10-2025;06:30;Hoek van Holland;100;
24-10-2025;06:40;Hoek van Holland;96;
24-10-2025;06:50;Hoek van Holland;92;
24-10-2025;07:00;Hoek van Holland;87;
24-10-2025;07:10;Hoek van Holland;82;
24-10-2025;07:20;Hoek van Holland;75;
24-10-2025;07:30;Hoek van Holland;68;
24-10-2025;07:40;Hoek van Holland;60;
24-10-2025;07:50;Hoek van Holland;52;
24-10-2025;08:00;Hoek van Holland;43;
24-10-2025;08:10;Hoek van Holland;33;
24-10-2025;08:20;Hoek van Holland;24;
24-10-2025;08:30;Hoek van Holland;14;
24-10-2025;08:40;Hoek van Holland;5;
24-10-2025;08:50;Hoek van Holland;-4;
24-10-2025;09:00;Hoek van Holland;-13;
24-10-2025;09:10;Hoek van Holland;-20;
24-10-2025;09:20;Hoek van Holland;-27;
24-10-2025;09:30;Hoek van Holland;-32;
24-10-2025;09:40;Hoek van Holland;-37;
24-10-2025;09:50;Hoek van Holland;-40;
24-10-2025;10:00;Hoek van Holland;-41;
24-10-2025;10:07;Hoek van Holland;-41;-41
24-10-2025;10:10;Hoek van Holland;-41;
24-10-2025;10:20;Hoek van Holland;-41;
24-10-2025;10:30;Hoek van Holland;-39;
24-10-2025;10:40;Hoek van Holland;-38;
24-10-2025;10:50;Hoek van Holland;-36;
24-10-2025;11:00;Hoek van Holland;-34;
24-10-2025;11:10;Hoek van Holland;-34;
24-10-2025;11:20;Hoek van Holland;-33;
24-10-2025;11:30;Hoek van Holland;-33;
24-10-2025;11:40;Hoek van Holland;-34;
24-10-2025;11:50;Hoek van Holland;-35;
24-10-2025;12:00;Hoek van Holland;-36;
24-10-2025;12:10;Hoek van Holland;-37;
24-10-2025;12:20;Hoek van Holland;-38;
24-10-2025;12:30;Hoek van Holland;-39;
24-10-2025;12:40;Hoek van Holland;-39;
24-10-2025;12:50;Hoek van Holland;-40;
24-10-2025;13:00;Hoek van Holland;-40;
24-10-2025;13:10;Hoek van Holland;-40;
24-10-2025;13:20;Hoek van Holland;-40;
24-10-2025;13:30;Hoek van Holland;-40;
24-10-2025;13:40;Hoek van Holland;-39;
24-10-2025;13:50;Hoek van Holland;-38;
24-10-2025;14:00;Hoek van Holland;-36;
24-10-2025;14:10;Hoek van Holland;-33;
24-10-2025;14:20;Hoek van Holland;-30;
24-10-2025;14:30;Hoek van Holland;-25;
24-10-2025;14:40;Hoek van Holland;-20;
24-10-2025;14:50;Hoek van Holland;-13;
24-10-2025;15:00;Hoek van Holland;-6;
24-10-2025;15:10;Hoek van Holland;2;
24-10-2025;15:20;Hoek van Holland;12;
24-10-2025;15:30;Hoek van Holland;22;
24-10-2025;15:40;Hoek van Holland;34;
24-10-2025;15:50;Hoek van Holland;47;
24-10-2025;16:00;Hoek van Holland;61;
24-10-2025;16:10;Hoek van Holland;75;
24-10-2025;16:20;Hoek van Holland;88;
24-10-2025;16:30;Hoek van Holland;101;
24-10-2025;16:40;Hoek van Holland;113;
24-10-2025;16:50;Hoek van Holland;122;
24-10-2025;17:00;Hoek van Holland;130;
24-10-2025;17:10;Hoek van Holland;134;
24-10-2025;17:20;Hoek van Holland;136;
24-10-2025;17:23;Hoek van Holland;136;136
24-10-2025;17:30;Hoek van Holland;136;
24-10-2025;17:40;Hoek van Holland;133;
24-10-2025;17:50;Hoek van Holland;130;
24-10-2025;18:00;Hoek van Holland;125;
24-10-2025;18:10;Hoek van Holland;120;
24-10-2025;18:20;Hoek van Holland;115;
24-10-2025;18:30;Hoek van Holland;110;
24-10-2025;18:40;Hoek van Holland;106;
24-10-2025;18:50;Hoek van Holland;101;
24-10-2025;19:00;Hoek van Holland;97;
24-10-2025;19:10;Hoek van Holland;92;
24-10-2025;19:20;Hoek van Holland;86;
24-10-2025;19:30;Hoek van Holland;80;
24-10-2025;19:40;Hoek van Holland;72;
24-10-2025;19:50;Hoek van Holland;64;
24-10-2025;20:00;Hoek van Holland;55;
24-10-2025;20:10;Hoek van Holland;45;
24-10-2025;20:20;Hoek van Holland;35;
24-10-2025;20:30;Hoek van Holland;25;
24-10-2025;20:40;Hoek van Holland;15;
24-10-2025;20:50;Hoek van Holland;6;
24-10-2025;21:00;Hoek van Holland;-3;
24-10-2025;21:10;Hoek van Holland;-11;
24-10-2025;21:20;Hoek van Holland;-19;
24-10-2025;21:30;Hoek van Holland;-25;
24-10-2025;21:40;Hoek van Holland;-31;
24-10-2025;21:50;Hoek van Holland;-35;
24-10-2025;22:00;Hoek van Holland;-38;
24-10-2025;22:10;Hoek van Holland;-40;
24-10-2025;22:20;Hoek van Holland;-41;
24-10-2025;22:30;Hoek van Holland;-40;
24-10-2025;22:40;Hoek van Holland;-39;
